adm0_id,adm1_id,population
278,900736,1013284
278,900737,3469852
278,900738,867340
278,900739,1759043
278,900740,690137
278,900741,1095497
278,900742,548496
221,900443,1903957
221,900444,1346943
221,900445,1560749
221,900446,1670871
221,900447,1739182
226,2688,673263
226,2705,1242003
226,2704,721363
226,2703,327428
226,2702,544123
226,2690,719512
226,2701,392698
226,2700,717863
226,2693,569434
226,2695,520685
226,2699,516036
226,2692,1650227
226,2697,1202219
226,2691,792182
226,2689,367226
226,2694,508405
226,2698,362921
226,2696,489307
74,900893,1234147
74,900894,4068187
74,900895,1358226
74,900896,587299
74,900897,460616
74,900898,632438
74,900899,996145
74,900900,706341
74,900901,308707
74,900902,623815
231,2736,2740488
231,2737,1655011
231,2738,1416216
231,2739,2578756
231,2740,989144
231,2741,2073176
231,2742,2620745
231,2743,1360742
231,2744,6235721
40764,900115,1202691
40764,900116,530004
40764,900117,2162825
40764,900118,1496590
40764,900119,2375653
40764,900120,7142079
40764,900121,1461596
40764,900122,3359532
40764,900123,2782335
40764,900124,881368
40764,900125,2412045
40764,900126,1586622
40764,900127,4555706
40764,900128,859766
40764,900129,734149
40764,900130,1662441
40764,900131,2228660
40764,900132,4367470
238,900231,831296
238,900230,3248273
238,900229,106182
238,900228,1189195
238,900227,2432697
238,900226,1484772
238,900224,704983
238,900223,1005994
238,900222,1852561
238,900221,371994
238,900220,686353
238,900218,1033316
238,900219,3879934
238,900225,1572451
239,900725,2942592
239,900726,206694
239,900727,3404960
239,900728,2546591
242,2957,68357
242,2958,60462
242,2959,119038
242,2960,98413
242,2961,66518
242,2962,339150
242,2963,133177
242,2964,61249
242,2965,72528
242,2966,52222
242,2967,49666
242,2968,70076
242,2969,77116
253,743,147732
253,744,149381
253,745,226284
253,747,259521
253,749,501508
253,750,157677
253,752,238645
253,753,149464
253,756,417195
253,757,108939
253,759,198633
253,762,229511
253,764,300120
253,766,117398
